lemTstopTpuncF,lemTstopFpuncF,lemFstopTpuncT,lemFstopFpuncF,lemTstopFpuncT,lemTstopTpuncT
little encouragement aeromagnetic and/or geochemistry prospective ultramafic rock area relinquish .,there be very little encouragement in either the aeromagnetic and/or the geochemistry that there be prospective ultramafic rock in the area relinquish .,little encouragement aeromagnetics and/or geochemistry prospective ultramafic rocks area relinquished,There is very little encouragement in either the aeromagnetics and/or the geochemistry that there are prospective ultramafic rocks in the area relinquished.,there be very little encouragement in either the aeromagnetic and/or the geochemistry that there be prospective ultramafic rock in the area relinquish,little encouragement aeromagnetic and/or geochemistry prospective ultramafic rock area relinquish
"2004 : nickel - pge potential narndee windimurra intrusions ; report apex minerals nl matheson c.i , booth r. a.","2004 : the nickel - pge potential of the narndee and windimurra intrusions ; a report for apex minerals nl matheson c.i , booth r. a.",2004 nickel pge potential narndee windimurra intrusions report apex minerals nl matheson c.i booth r. a.,"2004: The Nickel-PGE Potential of the Narndee and Windimurra Intrusions; A Report for Apex Minerals NL Matheson C.I, Booth R. A.",2004 the nickel pge potential of the narndee and windimurra intrusion a report for apex minerals nl matheson c.i booth r. a.,2004 nickel pge potential narndee windimurra intrusion report apex minerals nl matheson c.i booth r. a.
narndee mulyeron hill area interpret great potential nickel sulphide mineralisation .,the narndee and mulyeron hill area be interpret as have great potential for nickel sulphide mineralisation .,narndee mulyeron hill areas interpreted having greater potential nickel sulphide mineralisation,The Narndee and Mulyeron Hill areas are interpreted as having greater potential for nickel sulphide mineralisation.,the narndee and mulyeron hill area be interpret as have great potential for nickel sulphide mineralisation,narndee mulyeron hill area interpret great potential nickel sulphide mineralisation
area relinquish appear contain prospective ground discovery nickel sulphide pge mineralisation .,the area to be relinquish do not appear to contain prospective ground for the discovery of nickel sulphide or pge mineralisation .,area relinquished appear contain prospective ground discovery nickel sulphide pge mineralisation,The area to be relinquished does not appear to contain prospective ground for the discovery of nickel sulphide or PGE mineralisation.,the area to be relinquish do not appear to contain prospective ground for the discovery of nickel sulphide or pge mineralisation,area relinquish appear contain prospective ground discovery nickel sulphide pge mineralisation
area select potential nickel - copper - pge mineralisation associate feeder narndee windimurra intrusions .,the area be select for potential nickel - copper - pge mineralisation associate with feeder to the narndee and windimurra intrusions .,area selected potential nickel copper pge mineralisation associated feeders narndee windimurra intrusions,The area was selected for potential nickel-copper-PGE mineralisation associated with feeders to the Narndee and Windimurra Intrusions.,the area be select for potential nickel copper pge mineralisation associate with feeder to the narndee and windimurra intrusion,area select potential nickel copper pge mineralisation associate feeder narndee windimurra intrusion
"furthermore extensive costeaning , rab rc drilling conduct line historical gold working central west licence close proximity traverse great northern highway .","furthermore extensive costeaning , rab and rc drilling have be conduct along a line of historical gold working in the central west of the licence in close proximity to and traverse the great northern highway .",furthermore extensive costeaning rab rc drilling conducted line historical gold workings central west licence close proximity traversing great northern highway,"Furthermore extensive costeaning, RAB and RC drilling has been conducted along a line of historical gold workings in the central west of the licence in close proximity to and traversing the Great Northern Highway.",furthermore extensive costeaning rab and rc drilling have be conduct along a line of historical gold working in the central west of the licence in close proximity to and traverse the great northern highway,furthermore extensive costeaning rab rc drilling conduct line historical gold working central west licence close proximity traverse great northern highway
"centre , ( patch ) , gold nugget delineate .","two centre , ( patch ) , of gold nugget be delineate .",centres patches gold nuggets delineated,"Two centres, (patches), of gold nuggets were delineated.",two centre patch of gold nugget be delineate,centre patch gold nugget delineate
possible gold initially concentrate laterite remain eluvial deposit erosion laterite .,be possible that the gold be initially concentrate in the laterite and remain as an eluvial deposit on the erosion of the laterite .,possible gold initially concentrated laterite remained eluvial deposit erosion laterite,It is possible that the gold was initially concentrated in the laterite and remained as an eluvial deposit on the erosion of the laterite.,be possible that the gold be initially concentrate in the laterite and remain as an eluvial deposit on the erosion of the laterite,possible gold initially concentrate laterite remain eluvial deposit erosion laterite
"significant difference geology map pirajno occhipinti ( 1998 ) note 4 , ' i!i - d ? / map grid australia , 1994 zone 50 : ' ; mineral petroleum / "" "" , . , .","no significant difference to the geology map by pirajno and occhipinti ( 1998 ) be note other 4 , ' i!i - d ? / map grid of australia , 1994 zone 50 : ' ; mineral and petroleum / "" "" , . , .",significant differences geology mapped pirajno occhipinti 1998 noted 4 i!i d map grid australia 1994 zone 50 mineral petroleum,"No significant differences to the geology mapped by Pirajno and Occhipinti (1998) were noted other 4 , ' I!i - d ?/ Map Grid of Australia, 1994 Zone 50 : '; Mineral and Petroleum /"" "",.,.",no significant difference to the geology map by pirajno and occhipinti 1998 be note other 4 i!i d map grid of australia 1994 zone 50 mineral and petroleum,significant difference geology map pirajno occhipinti 1998 note 4 i!i d map grid australia 1994 zone 50 mineral petroleum
extensive outcrop sediment oppose ironstone duricrust south central portion licence .,than more extensive outcrop of sediment as oppose to ironstone duricrust in the south central portion of the licence .,extensive outcrops sediments opposed ironstone duricrust south central portion licence,than more extensive outcrops of sediments as opposed to ironstone duricrust in the south central portion of the licence.,than more extensive outcrop of sediment as oppose to ironstone duricrust in the south central portion of the licence,extensive outcrop sediment oppose ironstone duricrust south central portion licence
